Voter,Delegate,Vote,Balance
0x00208f5e88146ccd9a439e20af621ea958ff7c1b,No Delegate,"[2,3,-3,-1]","48903000000000000000000.00"
0x002b007ff84a726c6d44f036aaf75b13c0011501,No Delegate,"[2,-3,-1,3]","620000000000000000000.00"
0x06d46ad71509f5db7421c026e1ba9a974f983ee1,No Delegate,"[3,0,0,0]","7440000000000000000000.00"
0x0778358b4b865ca2c037b27e4584e4178157d6ed,No Delegate,"[0,3,0,0]","12525000000000000000000.00"
0x113fc47d954420f2e314d260e3f21dab4b548373,No Delegate,"[-3,3,-3,-3]","0.00"
0x17dab6bb606f32447aff568c1d0eedc3649c101c,No Delegate,"[3,-1,-1,1]","830617000000000000000000.00"
0x18cc1bb9853e1348ea8ad4c7868c82beebff06d6,No Delegate,"[2,3,1,-3]","218000000000000000000.00"
0x1a77fc33279aff72ef58e59b83ecf362495e92e6,No Delegate,"[1,-2,2,0]","14183722650000000000000.00"
0x1b47c1d219ad5033d6a86b83c9d3fa6d589c9797,No Delegate,"[3,-3,-3,2]","31002500000000000000000.00"
0x1d6ff33eb64ba9194a2510f14ccd27f065afea0e,No Delegate,"[-3,3,-3,-3]","75000000000000000000000.00"
0x1f6a9ee7fa0ee46b49705a6cae051572eb6e45c1,No Delegate,"[3,-3,-3,3]","218000000000000000000.00"
0x22105df9c86d07947fe602bb97968069838127eb,No Delegate,"[3,2,-2,1]","10177330000000000000000.00"
0x236ddcbec59db65e1641c11adab444bf159ae3b5,No Delegate,"[-3,3,-3,-3]","341000000000000000000.00"
0x251b33499aeaabfd96c98c38dbb7cfd5be0419df,0x2f7aa424fbd863d8dd45ee98153136c5d8c57245,"[2,-1,-2,1]","343350000000000000000.00"
0x2693da6ab053310f13e248850b44d6840d7bc94d,No Delegate,"[3,1,-3,-2]","16594707430000000000000.00"
0x2f7aa424fbd863d8dd45ee98153136c5d8c57245,No Delegate,"[2,-1,-2,1]","354250000000000000000.00"
0x3043c7e1534d1fb3235fed87c9247a6273cd7c04,No Delegate,"[3,-3,-3,3]","3100000000000000000000.00"
0x364b503b0e86b20b7ac1484c247de50f10dfd8cf,No Delegate,"[-3,-3,-3,3]","125000000000000000000000.00"
0x382932df1ed58cd95e570e530e2dec5bd87b6e4b,No Delegate,"[0,3,-1,-3]","215820000000000000000.00"
0x44aaaf628363deb4ce340dc5be0ad68eee694a28,No Delegate,"[1,3,-3,1]","62620000000000000000.00"
0x4a43f21628558b5e5f3d4e365b44cfbd3f994218,No Delegate,"[2,3,-3,-3]","17000000000000000000000.00"
0x4cabfd1796ec9ead77457768e5ca782a1a9e576f,No Delegate,"[-1,-3,-3,2]","618036000000000000000000.00"
0x4fea8b65cca9c868a40e5b8d48eab9f3e24f798d,No Delegate,"[-3,3,-3,-3]","3224000000000000000000.00"
0x550d286e78dbf0a74b99ea52bfe1703d86f98e1e,No Delegate,"[2,-3,-3,3]","982700000000000000000.00"
0x59ef8071616dda7b43124948fe1bc32c2ec1ec85,No Delegate,"[3,-3,-3,-3]","620000000000000000000.00"
0x5eaf448ce7d895be5b5bff7e7e8fa5258d5427a8,No Delegate,"[3,-3,-3,1]","60796779760000000000000.00"
0x642a2aeb15d4e1d4657199af8315199bcd5a4b88,No Delegate,"[3,3,-3,-3]","79801989020000000000000.00"
0x652146673583c156140674cdfc4f1c873951f808,No Delegate,"[2,3,-3,1]","436000000000000000000.00"
0x692ca7329615e7d6a3c31371769c897f8bdc223b,No Delegate,"[0,3,0,0]","8835000000000000000000.00"
0x6a7f63709422a986a953904c64f10d945c8afba1,No Delegate,"[3,-3,-3,-3]","217000000000000000000.00"
0x6b488c6f5c2800c7071fec6730e8c547b657610a,No Delegate,"[-3,3,-3,-3]","1550000000000000000000.00"
0x6ce35a3365e43be3860d4f74dc7fa10332d05f6d,No Delegate,"[3,-3,-3,3]","327000000000000000000.00"
0x6e62b2b74dff1c8ef880844fd3c55d2d11d84e6c,No Delegate,"[-3,-3,-3,3]","6256479422000000000000.00"
0x735cd2e79a42bf89ebd477ba2fb02d6b986150b3,No Delegate,"[3,-3,-3,2]","1550000000000000000000.00"
0x739066ed2d1718fd100cec4d9f347382ec6440dc,No Delegate,"[1,3,0,0]","1860000000000000000000.00"
0x7d69464bc6398d1977a03a9cba8ef76dc653650a,No Delegate,"[3,-3,-2,1]","4030000000000000000000.00"
0x7df470facc6dd63ab28637b476baa6d5a991cbf5,No Delegate,"[3,-1,-2,-3]","25587801500000000000000.00"
0x887dbacd9a0e58b46065f93cc1f82a52defdb979,No Delegate,"[-3,-3,-3,3]","1000000000000000000000000.00"
0x8b4eebaf8ce3e53e3cd063fa421dde4dda5949c8,No Delegate,"[0,3,-1,-3]","6386858457000000000000.00"
0x9504fdf38a1c6b8531de479aaca0553947345695,No Delegate,"[-3,1,-3,3]","55000000000000000000000.00"
0x960b93a57d77baefd8188e627394ad314ed0d53f,No Delegate,"[2,3,-2,-3]","1974975927000000000000.00"
0x97370c0eb09a6380353ece0885d23a552e684d52,No Delegate,"[-1,3,1,-2]","616900000000000000000.00"
0x98afc5d79ab11fc822eaf44c4173331482e23c77,No Delegate,"[1,3,-3,-2]","310000000000000000000.00"
0x9950280174c69bd239f07a03c40bba9139c3907f,No Delegate,"[3,1,-3,-3]","3775982188000000000000.00"
0x9b59b887ab5016566ea0f6da83f47c5892a758a5,No Delegate,"[2,2,-2,2]","1215382436000000000000.00"
0x9dc412d4b6f9d094203940b5f242082bba0c6199,No Delegate,"[3,-3,0,-3]","21800000000000000000.00"
0xa3f59ebc3bf8fa664ce12e2f841fe6556289f053,No Delegate,"[2,3,1,2]","23250000000000000000000.00"
0xa72fc2c380f13d4a1fb7c2f2a876359dc8bbeb9c,No Delegate,"[2,-1,0,3]","5713845246000000000000.00"
0xb504366f4bfef982550bbf36f1ecc52e4318c72a,No Delegate,"[0,0,0,3]","1519000000000000000000.00"
0xb6c9855bc0dd12c8c20731991968fa15fd68ce53,No Delegate,"[3,1,1,1]","1635000000000000000000.00"
0xb6dc48e8583c8c6e320daf918cadef65f2d85b46,No Delegate,"[3,0,-3,3]","114417000000000000000000.00"
0xb8ea5cbfe4961a9d5674eeda678271344c03a13e,No Delegate,"[3,3,-3,-3]","40000000000000000000000.00"
0xb9e0e0d58c2ed23d668c41854a7357e5ce7975d1,No Delegate,"[1,1,-1,-1]","2334300000000000000000.00"
0xbc081c23b3b8c6cf1464e98eb108c13c6f8cba1c,No Delegate,"[0,2,1,-2]","6306071147000000000000.00"
0xbc1bcd39952ba9baa32b7a77a4020590d3a551c5,No Delegate,"[0,3,-2,-3]","80370000000000000000000.00"
0xc2745f3708d090338bc3aba48b4588415b9d67eb,No Delegate,"[-2,3,1,-3]","4433423391721430423.00"
0xc356909ac6dca18f748c6c9524c0ccfe520015c4,No Delegate,"[-3,-3,3,-3]","25658167260000000000000.00"
0xc6fa742f5a58cf2ccf8234a7c13cf9dcb8515221,No Delegate,"[1,3,-3,2]","763000000000000000000.00"
0xcab61b858a344ad4c878c60de62b2019d3e00aed,No Delegate,"[3,-3,3,-3]","620000000000000000000.00"
0xce824a860c95e0852f779f73ab305aa04346c436,No Delegate,"[1,3,2,-1]","76880000000000000000.00"
0xd2f334cbf3ad1669fb272f17bc1eb5b89cc5d878,No Delegate,"[2,3,1,-3]","39691000000000000000000.00"
0xde4d5886da98c3a1140260aaf536a2f1262e2948,No Delegate,"[-2,3,-1,-3]","1860000000000000000000.00"
0xe223771699665bcb0aaf7930277c35d3dec573af,No Delegate,"[2,0,-1,2]","125000000000000000000000.00"
0xe48f9537f93fee711537e477619a94ad490de051,No Delegate,"[-2,-3,3,0]","320487473000000000000000.00"
0xead71beb50e36e45547b248246365917cf91fc6a,No Delegate,"[3,0,0,0]","1565500000000000000000.00"
0xeb13d54124a7bd8a42e36bc05a063c9acdd8572c,No Delegate,"[-3,2,3,-3]","52934915750000000000000.00"
0xefbd02ae7453eec563bb8d5d05b663aa66dce8c7,No Delegate,"[2,3,-3,-2]","93000000000000000000.00"
0xefd27be83faebce3c2a21ee944d0d1271fb24f5f,No Delegate,"[-1,3,-1,-3]","82666666670000000000000.00"
0xf02d417c8c6736dbc7eb089dc6738b950c2f444e,No Delegate,"[3,-3,-3,1]","114417000000000000000000.00"
0xf66fe29ad1e87104a8816ad1a8427976d83cb033,No Delegate,"[1,0,-3,3]","1000000000000000000000000.00"

